Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,398.000000,399.790009,392.709991,395.850006,302.399353,4400
2018-01-02,397.989990,402.260010,397.750000,398.730011,304.599487,6900
2018-01-03,400.000000,403.600006,395.000000,397.260010,303.476563,5600
2018-01-04,397.000000,397.000000,392.869995,392.869995,300.122833,7000
2018-01-05,394.579987,395.380005,392.010010,392.489990,299.832611,6500
2018-01-08,393.500000,393.500000,390.109985,390.649994,298.427002,4500
2018-01-09,392.529999,392.529999,387.290009,387.600006,296.097046,7300
2018-01-10,387.220001,387.989990,376.940002,379.679993,290.046692,13800
2018-01-11,379.119995,387.589996,376.170013,383.739990,293.148224,6800
2018-01-12,384.410004,385.760010,380.750000,380.829987,290.925232,7700
2018-01-16,382.369995,384.000000,380.100006,382.089996,291.887787,3900
2018-01-17,382.089996,384.109985,379.049988,382.899994,292.506531,6400
2018-01-18,381.649994,381.649994,378.019989,378.019989,288.778564,7800
2018-01-19,376.959991,379.850006,376.959991,377.100006,288.075745,5700
2018-01-22,377.250000,378.570007,375.709991,377.380005,288.289703,4400
2018-01-23,380.000000,380.000000,379.899994,380.000000,290.291168,1700
2018-01-24,379.799988,386.079987,378.750000,378.750000,289.336304,4200
2018-01-25,378.750000,379.500000,377.000000,378.440002,289.099487,4600
2018-01-26,375.549988,375.549988,368.220001,370.730011,286.617767,4300
2018-01-29,370.160004,370.160004,363.500000,364.540009,281.832123,3000
2018-01-30,363.429993,363.429993,359.940002,362.279999,280.084961,5200
2018-01-31,362.369995,365.200012,360.260010,363.359985,280.919891,6500
2018-02-01,363.049988,363.049988,351.750000,354.149994,273.799500,11000
2018-02-02,352.010010,352.820007,348.000000,348.390015,269.346375,4200
2018-02-05,347.119995,352.720001,340.500000,341.200012,263.787628,10100
2018-02-06,337.420013,345.739990,332.980011,335.579987,259.442719,17600
2018-02-07,336.750000,344.679993,336.679993,338.640015,261.808502,12200
2018-02-08,339.000000,344.920013,339.000000,340.070007,262.914001,8900
2018-02-09,341.040009,354.149994,341.040009,351.390015,271.665710,15200
2018-02-12,353.220001,359.119995,335.200012,357.140015,276.111115,11200
2018-02-13,357.250000,362.250000,357.250000,360.720001,278.878876,12200
2018-02-14,359.529999,362.040009,353.380005,359.350006,277.819672,12300
2018-02-15,360.709991,362.739990,357.679993,359.929993,278.268097,6100
2018-02-16,359.190002,362.260010,353.130005,353.130005,273.010895,5900
2018-02-20,356.670013,367.589996,354.579987,365.940002,282.914551,15000
2018-02-21,367.100006,374.079987,366.220001,373.200012,288.527344,22200
2018-02-22,375.000000,377.299988,368.899994,370.440002,286.393555,22900
2018-02-23,371.890015,374.600006,365.670013,371.109985,286.911530,17400
2018-02-26,372.170013,382.010010,372.170013,379.799988,293.629944,17100
2018-02-27,379.980011,379.980011,369.799988,369.799988,285.898834,17100
2018-02-28,370.519989,370.519989,361.549988,365.329987,282.442932,16500
2018-03-01,365.000000,367.000000,362.000000,364.119995,281.507477,6500
2018-03-02,362.890015,365.000000,361.230011,365.000000,282.187836,5900
2018-03-05,364.250000,373.989990,362.899994,366.779999,283.563904,16800
2018-03-06,367.489990,373.799988,364.000000,370.489990,286.432220,22700
2018-03-07,368.429993,374.410004,368.429993,373.549988,288.797943,9300
2018-03-08,374.559998,374.559998,369.309998,372.160004,287.723328,9900
2018-03-09,373.149994,374.100006,370.019989,372.149994,287.715576,22800
2018-03-12,372.600006,372.920013,366.880005,372.920013,288.310913,10800
